Player	Age	MP	FG	FGA	3P	3PA	2P	2PA	eFG%	FT	FTA	TRB	AST	STL	BLK	TOV	SALARY
Cameron Payne	21	12.2	2	4.9	0.6	1.9	1.4	2.9	0.475	0.3	0.4	1.5	1.9	0.6	0.1	0.8	2021520
Festus Ezeli	26	16.7	2.7	5	0	0	2.7	5	0.548	1.5	2.9	5.6	0.7	0.4	1.1	0.8	2008748
Kent Bazemore	26	27.8	4.3	9.7	1.5	4.1	2.8	5.6	0.517	1.6	2	5.1	2.3	1.3	0.5	1.8	2000000
DeJuan Blair	26	7.5	1	2.3	0	0	1	2.3	0.412	0.2	0.4	2	0.4	0.3	0.1	0.5	2000000
Giannis Antetokounmpo	21	35.3	6.4	12.7	0.4	1.4	6.1	11.3	0.52	3.7	5.1	7.7	4.3	1.2	1.4	2.6	1953960
Adreian Payne	24	9.3	1	2.8	0.2	0.6	0.8	2.2	0.397	0.3	0.5	2.1	0.6	0.3	0.2	0.7	1938840
Kelly Oubre Jr.	0		0		0		0		0		0		0		0		1920240
Jusuf Nurkic	21	17.1	3.2	7.6	0	0.1	3.2	7.5	0.417	1.9	3.1	5.5	1.3	0.8	1.4	1.7	1842000
Lucas Nogueira	23	7.8	1	1.5	0	0.1	0.9	1.4	0.648	0.3	0.5	1.6	0.2	0.4	0.4	0.4	1842000
Terry Rozier	21	8	0.7	2.7	0.2	0.7	0.6	2	0.302	0.2	0.3	1.6	0.9	0.2	0	0.5	1824360
Dennis Schroder	22	20.3	4.1	9.8	1	3	3.2	6.8	0.471	1.8	2.3	2.6	4.4	0.9	0.1	2.3	1763400
James Young	20	6.9	0.4	1.2	0.2	0.9	0.2	0.3	0.389	0	0.1	0.9	0.3	0.2	0	0.2	1749840
Rashad Vaughn	19	14.3	1.2	3.8	0.6	2.1	0.5	1.7	0.385	0.2	0.2	1.3	0.6	0.4	0.2	0.4	1733040
Ryan Kelly	24	13.1	1.5	4.1	0.1	1	1.4	3.1	0.386	1	1.5	3.4	0.6	0.4	0.3	0.5	1724250
Joffrey Lauvergne	24	17.6	3.3	6.4	0.2	0.9	3.1	5.5	0.53	1.1	1.2	4.9	0.9	0.2	0.3	0.9	1709719
Zoran Dragic	0		0		0		0		0		0		0		0		1706225
Tyler Ennis	21	14.2	1.8	4.1	0.3	0.8	1.5	3.2	0.484	0.5	0.7	1.6	2.1	0.5	0	1	1662360
Sam Dekker	21	2	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0	0	1646400
Lance Thomas	27	22.3	2.9	6.5	0.7	1.8	2.1	4.6	0.5	1.7	2	2.2	0.9	0.4	0.1	1	1636842
Lou Amundson	33	7	0.7	1.8	0	0	0.7	1.8	0.358	0.5	0.9	1.7	0.4	0.2	0.2	0.5	1635476
Sergey Karasev	22	10	0.8	1.9	0.3	0.9	0.5	0.9	0.48	0.7	0.7	1.5	0.9	0.2	0.1	0.6	1599840
